"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"National Commodities Management Services Limited","NCML OWN WAREHOUSE","6912158","SURVEY NO 372, 374 & 377 GH AND 415 VILLAGE RAMPUR, POST BHIMSEN TALUKA AND DISTRICT- KANPUR NAGAR UTTAR PRADESH PIN 209305","Kanpur Nagar","UTTAR PRADESH","4023","11-Apr-2024","10-Oct-2028","9454850619","Active",""
"Orai Oil Chem Private Limited","Orai Oil Chem Private Limited","6877955","D17, Industrial Area, Kalpi Road, Orai,","Jalaun","UTTAR PRADESH","5000","05-Mar-2024","04-Mar-2029","8299871756","Active",""
"Pratibha Asati","SHRI DHANUSHDHARI WAREHOUSING","6675722","KHARSA NO 323 PACHORO ROAD, NH 39 MAURANIPUR JHANSI ROAD","Jhansi","UTTAR PRADESH","5000","19-Jan-2023","18-Jan-2028","7084459990","Active",""
"R S P AGRO INDUSTRIES PRIVATE LTD","R S P Agro Industries Pvt Ltd","6963185","Gata no. 56,57 Village rehapura Faridpur Bareilly 243503, Rehapura","Bareilly","UTTAR PRADESH","8415","31-Jul-2024","30-Jul-2029","9412288631","Active",""
"Ruma Agarwal","SR CHEMICALS","6715775","Bhedpur,Pargana jamour, Tehsil Sadar","Shahjahanpur","UTTAR PRADESH","6907","10-May-2023","09-May-2028","7080804012","Active",""
"SADHAN SAHAKARI SAMIT LMT. BADHAUNA","SADHAN SAHAKARI SAMIT LTD. BADHAUNA","8111658","BADHAUNA,","Jaunpur","UTTAR PRADESH","250","08-Jun-2020","07-Jun-2025","9415438410","Active",""
"SAHKARI SANGH LTD RAJMAU","SAHKARI SANGH LTD. RAJMAU","6171645","VILLAGE BAIDPURA,","Etawah","UTTAR PRADESH","250","23-Jul-2021","22-Jan-2026","9454403282","Active",""
"SAROJ RAI","Saroj Rai Warehousing","6918999","Khasra No-1141,1142,1143,1144,","Ghazipur","UTTAR PRADESH","18698","23-Apr-2024","22-Oct-2028","6307089945","Active",""
"saroj singh","S.S.Warehouse","6715411","Bhadaiyan,","Sultanpur","UTTAR PRADESH","5000","08-May-2023","07-May-2028","8009903200","Active",""
"Sarvesh Kumari","BBB Warehouse","6571145","near Mandi samiti Kasganj Amanpur road,","Kanshiram Nagar","UTTAR PRADESH","4454","27-Apr-2022","26-Apr-2027","9899246785","Active",""
"SHASHIDHAR MISHRA","Sabya Sanchi Cold Storage","6543516","Near Mandi, Bahraich Road","Kheri","UTTAR PRADESH","12201","29-Nov-2021","28-Nov-2026","9415148929","Inactive","EXPIRED/INSUFFICIENT INSURANCE"
